district_id,district_name
3963,حي الامام
3964,قضاء الحسينية
3965,طريق كربلاء بغداد
4173,شهداء الموظفين
4247,شارع النجف
4248,جاير
4250,حصوة السعود
4261,حي الانتفاضة الثالثة
4274,حي الشرطة
4304,البلديات 
4305,المركزية 
4310,الحر الصغير
4348,باب طارق
4349,باب الطاق
4350,الجمالية
4358,حي الزيتون 
4362,حي الامامين
4367,شارع سيد جودة
4378,الروضتين
4380,سوق الحبوبي
4386,الحي الصناعي
4387,حي الجوادين
4388,حي المهندسين
4395,حي الانتفاضة الاولى
4396,العباسية الشرقية الثانية
4412,المحيط
4414,الكمالية
4416,حي القدس
4428,الطريق الحولي
4433,سيدة رقية
4456,حي الامل
4463,حي الايطارات
4471,حي الاساتذة 
4473,المخيم
4475,منطقة الطاقة
4476,الانصار
4484,البناء الجاهز
4488,شارع الجمهورية
4502,شهداء سيف سعد
4513,شارع السناتر
4526,حي الجامعة
4551,قرية البوحميد
4559,درة كربلاء
4578,النخيب 
4587,مطار كربلاء
4614,الرزازة
4631,الحرية
4633,سيد الاوصياء
4640,الانتفاضة الثانية
4645,البهادلية
4651,حي الاطارات
4652,حي الجاير
4663,حي التربية
4691,فريحة 
4719,حي الشهد
4729,مصفى نفط كربلاء
4750,حي الصحفيين 
4758,العلوة القديمة
4775,شارع المدرسي
4819,حي الثورة
4820,شارع الحداد
4846,شارع المحافظ القديم 
4851,حي الزهور
4852,حي الاصلاح
4854,بدعة اسود
4875,حي اللايح
4886,شارع السدرة
4887,شارع العلقمي
4896,شارع المحافظة
4899,عرعر
4908,مجمع الدرة السكني
4938,البراميه
4940,حي اليرموك
4947,الجرية
4952,حي المعملجي 
4969,حي الايمان
4972,كربلاء الجديدة
4987,حي التركمان
4990,حي الكامل
4995,قنطرة البيضاء
5002,خان الربع
5005,السعدية
5013,سيد اسماعيل
5016,حي التعليب
5022,عرب صالح
5024,باب القبلة
5029,باب السلالمة
5031,الاخيضر
5034,خمسينات
5035,الروفة
5037,الحيدرية
5040,سومر
5070,المدينة القديمة
5080,قرية الشريعة
5084,حي الحجة 
5089,الاسكان العسكري 
